1 [1000, 0, 0, 123, 0, 0]
2 [1000, 0, 0, 72, 1, 0]
3 [1000, 0, 0, 1, 2, 0]
4 [1000, 0, 0, 1, 4, 0]
6 [1000, 0, 0, 0, 5, 0]
7 [1000, 0, 65536, 0, 6, 0]
8 [1000, 0, 65536, 1397714, 7, 0]
9 [1000, 0, 65536, 1397714, 8, 0]
10 [1000, 0, 65536, 1397714, 9, 0]
11 [1000, 0, 65536, 1397714, 10, 0]
12 [1000, 0, 65536, 1913641670, 11, 0]
13 [1000, 0, 65536, 1039046, 12, 0]
14 [1000, 0, 65536, 1039046, 13, 0]
15 [1000, 0, 65536, 1039046, 14, 0]
16 [1000, 0, 65536, 1039046, 16, 0]
18 [1000, 0, 65536, 1039046, 17, 0]
19 [1000, 1, 65536, 1039046, 18, 0]
20 [1000, 256, 65536, 1039046, 19, 0]
21 [1000, 0, 65536, 1039046, 20, 0]
22 [1000, 0, 65536, 1039046, 21, 0]
23 [1000, 0, 65536, 1039046, 23, 0]
25 [1000, 0, 65536, 1039046, 24, 1]
26 [1000, 0, 65536, 1039046, 17, 1]
19 [1000, 2, 65536, 1039046, 18, 1]
20 [1000, 512, 65536, 1039046, 19, 1]
